Year,Mean,Upper,Lower
1957,329.9194053208,345.2402190923,314.7370892019
1958,314.014084507,329.1948356808,298.5539906103
1959,311.0618153365,326.2433489828,295.4624413146
1960,301.0062597809,316.3270735524,285.6854460094
1961,316.8575899844,332.1776212833,301.8145539906
1962,331.872456964,349.9788732394,316.8294209703
1963,308.8638497653,324.1838810642,293.4029733959
1964,317.8888888889,333.0704225352,302.7073552426
1965,280.6729264476,295.8552425665,265.3521126761
1966,316.0226917058,331.0641627543,300.7018779343
1967,322.9585289515,338.279342723,307.63771518
1968,300.9241001565,316.244913928,285.7417840376
1969,281.813771518,296.9953051643,266.4929577465
1970,281.7856025039,296.9679186228,266.4647887324
1971,298.8896713615,314.210485133,283.7073552426
1972,304.0148669797,319.196400626,288.6940532081
1973,288.9444444444,304.2660406886,273.4835680751
1975,308.1095461659,323.4295774648,292.6494522692
1976,282.8708920188,298.0532081377,267.5500782473
1977,250.6705790297,266.1306729264,235.6283255086
1978,283.7902973396,299.2511737089,268.6087636933
1979,260.9217527387,276.1025039124,245.7402190923
1980,225.9342723005,240.9773082942,210.8920187793
1981,246.7989045383,261.9812206573,231.617370892
1982,237.9976525822,252.9006259781,222.8153364632
1983,207.0500782473,222.0923317684,191.7284820031
1984,195.7417840376,211.0625978091,180.8388106416
